CustomerID,Lookalikes
C0001,"[('C0120', 0.8592147821700108), ('C0181', 0.8232837167343752), ('C0091', 0.7848344583020049)]"
C0002,"[('C0178', 0.932709585700442), ('C0159', 0.9288360920487301), ('C0134', 0.8648048810453828)]"
C0003,"[('C0031', 0.8714967761261602), ('C0133', 0.8638133052430901), ('C0195', 0.8463253228935286)]"
C0004,"[('C0012', 0.932509180410531), ('C0113', 0.9180968745105336), ('C0181', 0.7591403331765096)]"
C0005,"[('C0007', 0.9535310673609337), ('C0140', 0.912501703628476), ('C0146', 0.8922103364223573)]"
C0006,"[('C0187', 0.8703341588716387), ('C0158', 0.7706454461477615), ('C0048', 0.7625551356900947)]"
C0007,"[('C0005', 0.9535310673609337), ('C0140', 0.9354377283759693), ('C0110', 0.8772545993376656)]"
C0008,"[('C0109', 0.8343259505414606), ('C0194', 0.8164603519363832), ('C0098', 0.8148072495421177)]"
C0009,"[('C0198', 0.9713144906717098), ('C0060', 0.9445395315390058), ('C0014', 0.9415131218963109)]"
C0010,"[('C0111', 0.9057499828461234), ('C0062', 0.82341295485742), ('C0061', 0.7069158606965722)]"
C0011,"[('C0107', 0.9113841706841574), ('C0190', 0.8478825920904085), ('C0126', 0.8378269286409926)]"
C0012,"[('C0004', 0.932509180410531), ('C0113', 0.9265488188001608), ('C0104', 0.8737704744809094)]"
C0013,"[('C0099', 0.9385260080897055), ('C0188', 0.8730207620595254), ('C0169', 0.8059484206132382)]"
C0014,"[('C0060', 0.9801281720918666), ('C0198', 0.9527096631684586), ('C0009', 0.9415131218963109)]"
C0015,"[('C0058', 0.9372233722336814), ('C0036', 0.9354474862471718), ('C0131', 0.9329159743195128)]"
C0016,"[('C0117', 0.8982286889097684), ('C0042', 0.817841711402278), ('C0176', 0.8120712774496843)]"
C0017,"[('C0075', 0.9455663993519304), ('C0057', 0.8448047179981545), ('C0041', 0.8106593014298961)]"
C0018,"[('C0068', 0.859314708732933), ('C0122', 0.8424687097909519), ('C0125', 0.7785878219551362)]"
C0019,"[('C0121', 0.7911716850104151), ('C0119', 0.790851853649499), ('C0070', 0.7612945180167594)]"
C0020,"[('C0050', 0.8539642942596911), ('C0015', 0.8306658352365022), ('C0058', 0.7984999637066129)]"
